member_id,group_id,first_name,last_name,dob,gender,ssn_last4,state,email,enrollment_date,term_date,line_of_business
MBR300001,GRP1005,Lucy,Murphy,1963-11-21,F,4861,DE,mbr300001@example.com,2024-05-16,,TPA
MBR300002,GRP1010,John,Doe,2002-05-30,F,8238,OH,mbr300002@example.com,2022-05-05,,CSF
MBR300003,GRP1009,Jane,Diaz,1956-02-05,F,6615,NJ,mbr300003@example.com,2022-06-14,,TPA
MBR300004,GRP1010,John,Diaz,1957-05-10,F,9562,VA,mbr300004@example.com,2023-05-20,,CSF
MBR300005,GRP1015,Priya,Lopez,1973-10-30,F,2144,MD,mbr300005@example.com,2023-06-19,2025-07-27,CFI
MBR300006,GRP1015,Raj,Diaz,1958-12-21,M,8808,de,mbr300006@example.com,2022-05-29,2023-02-24,CFI
MBR300007,GRP1015,Maria,Chen,1975-07-27,F,7179,OH,mbr300007@example.com,2023-12-16,,CFI
MBR300008,GRP1010,Lucy,Ahmed,1959-04-18,F,4333,NJ,mbr300008@example.com,2022-01-17,,CSF
MBR300009,GRP1012,Raj,Lopez,1980-10-05,F,4325,OH,mbr300009@example.com,2022-11-15,,CSF
MBR300010,GRP1015,Wei,Ahmed,1953-12-15,M,5464,NY,mbr300010@example.com,2022-04-15,2023-10-03,CFI
MBR300011,GRP1003,Wei,Cohen,1950-11-13,M,1232,NY,mbr300011@example.com,2024-06-23,,CSF
MBR300012,GRP1014,Alex,Singh,1961-06-08,M,5050,CA,mbr300012@example.com,2024-01-27,,TPA
MBR300013,GRP1013,Maria,Lopez,1959-03-23,M,9173,FL,mbr300013@example.com,2022-03-23,,TPA
MBR300014,GRP1012,Maria,Kim,1965-11-19,F,0406,NY,mbr300014@example.com,2022-11-13,,CSF
MBR300015,GRP1006,Maria,Ahmed,1964-04-13,M,6267,PA,mbr300015@example.com,2024-04-23,,CSF
MBR300016,GRP1004,Omar,Chen,1977-05-19,F,3652,PA,mbr300016@example.com,2023-02-13,,TPA
MBR300017,GRP1007,Jane,Ahmed,1981-07-03,U,6548,OH,mbr300017@example.com,2023-11-04,,FEP
MBR300018,GRP1001,Sam,Kim,2002-02-01,M,0626,NJ,mbr300018@example.com,2022-08-25,,CSF
MBR300019,GRP1006,Lucy,Roe,1984-07-23,U,3114,MD,,2023-10-05,,CSF
MBR300020,GRP1007,Lucy,Lopez,1982-09-04,F,1146,CA,mbr300020@example.com,2022-01-04,,FEP
MBR300021,GRP1011,Sam,Cohen,1977-09-30,F,5344,FL,mbr300021@example.com,2022-09-13,,TPA
MBR300022,GRP1009,Wei,Kim,2005-03-22,U,4930,FL,mbr300022@example.com,2022-09-18,2022-09-18,TPA
MBR300023,GRP1005,Raj,Diaz,1978-11-29,F,7238,TX,mbr300023@example.com,2023-08-11,2025-01-15,TPA
MBR300024,GRP1008,Sam,Cohen,2005-07-22,M,1530,DE,mbr300024@example.com,2022-12-14,,CSF
MBR300025,GRP1004,John,Lopez,1992-08-17,U,1193,TX,mbr300025@example.com,2023-02-12,2024-03-16,TPA
MBR300026,GRP1012,Maria,Kim,1950-07-01,M,6965,DE,mbr300026@example.com,2024-02-26,,CSF
MBR300027,GRP1012,Lucy,Lopez,1960-11-20,F,2184,TX,mbr300027@example.com,2024-11-26,,CSF
MBR300028,GRP1009,Omar,Diaz,1995-04-15,F,8976,TX,mbr300028@example.com,2023-10-12,,TPA
MBR300029,GRP1012,Maria,Ahmed,1996-10-07,F,3919,MD,mbr300029@example.com,2024-08-30,,CSF
MBR300030,GRP1012,Priya,Chen,1998-06-17,M,2267,NY,mbr300030@example.com,2023-08-09,2025-07-19,CSF
MBR300031,GRP1003,Wei,Chen,1998-09-06,F,6812,PA,mbr300031@example.com,2023-03-15,2025-07-22,CSF
MBR300032,GRP1007,Raj,Singh,1992-10-16,M,5763,MD,mbr300032@example.com,2022-02-10,,FEP
MBR300033,GRP1014,Lucy,Diaz,1969-10-14,F,3595,MD,mbr300033@example.com,2024-05-08,,TPA
MBR300034,GRP1001,Wei,Kim,1991-12-07,F,8751,PA,mbr300034@example.com,2024-03-07,,CSF
MBR300035,GRP1010,Wei,Kim,1991-06-03,F,0823,MD,mbr300035@example.com,2022-02-25,2023-05-04,CSF
MBR300036,GRP1008,Wei,Ahmed,1987-10-27,M,1341,TX,,2023-11-01,,CSF
MBR300037,GRP1009,Priya,Lopez,1956-02-27,M,0508,DE,mbr300037@example.com,2022-04-17,,TPA
MBR300038,GRP1001,Omar,Roe,2000-08-06,F,7619,MD,mbr300038@example.com,2022-11-09,2023-10-18,CSF
MBR300039,GRP1010,Alex,Ahmed,1959-09-13,U,0420,MD,mbr300039@example.com,2022-08-23,,CSF
MBR300040,GRP1015,Maria,Roe,2003-02-13,F,1669,MD,mbr300040@example.com,2024-02-08,,CFI
MBR300041,GRP1010,Raj,Doe,1981-02-24,U,7018,CA,,2022-09-05,,CSF
MBR300042,GRP1011,Wei,Murphy,1959-06-21,F,5934,TX,mbr300042@example.com,2023-11-30,2025-02-17,TPA
MBR300043,GRP1003,Lucy,Murphy,1991-09-15,F,9707,MD,mbr300043@example.com,2023-07-08,,CSF
MBR300044,GRP1004,Omar,Lopez,1991-09-10,U,9999,FL,mbr300044@example.com,2022-06-27,,TPA
MBR300045,GRP1008,Maria,Chen,1973-03-06,M,4581,VA,mbr300045@example.com,2023-10-28,2024-08-05,CSF
MBR300046,GRP1009,Maria,Roe,1971-08-27,F,8004,OH,mbr300046@example.com,2022-01-21,,TPA
MBR300047,GRP1012,Omar,Murphy,1951-07-20,M,4820,DE,mbr300047@example.com,2024-09-02,,CSF
MBR300048,GRP1004,Priya,Murphy,1999-08-28,U,5632,FL,mbr300048@example.com,2023-09-20,,TPA
MBR300049,GRP1009,Omar,Ahmed,1977-07-05,M,3777,NJ,mbr300049@example.com,2023-11-09,,TPA
MBR300050,GRP1006,Alex,Lopez,1969-05-31,F,4530,VA,mbr300050@example.com,2022-09-02,,CSF
MBR300051,GRP1009,Maria,Ahmed,1970-05-30,M,2939,MD,,2023-08-03,,TPA
MBR300052,GRP1009,John,Cohen,1976-03-17,F,8042,NJ,mbr300052@example.com,2022-09-17,,TPA
MBR300053,GRP1010,Omar,Chen,1966-07-17,M,4136,TX,,2023-08-06,,CSF
MBR300054,GRP1002,Raj,Doe,1963-08-12,F,9221,MD,,2024-03-31,,CSF
MBR300055,GRP1004,Wei,Diaz,2003-06-25,U,3697,OH,mbr300055@example.com,2022-08-31,,TPA
MBR300056,GRP1015,Raj,Singh,1977-05-25,U,0986,VA,mbr300056@example.com,2024-06-25,,CFI
MBR300057,GRP1002,Sam,Roe,1964-02-03,F,2847,OH,,2023-03-02,,CSF
MBR300058,GRP1001,Raj,Murphy,1976-02-17,M,3792,MD,mbr300058@example.com,2024-04-16,,CSF
MBR300059,GRP1012,Maria,Ahmed,2002-11-30,F,6965,NJ,mbr300059@example.com,2024-07-18,2024-12-17,CSF
MBR300060,GRP1015,Jane,Doe,1964-11-19,M,9749,VA,mbr300060@example.com,2023-06-29,,CFI
MBR300061,GRP1008,Sam,Singh,1974-06-04,U,8847,TX,mbr300061@example.com,2022-09-12,,CSF
MBR300062,GRP1010,Priya,Diaz,1972-06-18,M,1496,DE,mbr300062@example.com,2022-03-23,,CSF
MBR300063,GRP1014,Sam,Diaz,1953-08-11,F,7708,OH,mbr300063@example.com,2022-02-12,,TPA
MBR300064,GRP1015,Raj,Singh,1994-02-11,M,7700,CA,mbr300064@example.com,2023-07-24,2024-06-16,CFI
MBR300065,GRP1011,Priya,Singh,1994-06-14,M,6561,OH,,2022-08-03,,TPA
MBR300066,GRP1002,Jane,Singh,1996-03-02,M,8889,TX,mbr300066@example.com,2023-10-07,,CSF
MBR300067,GRP1004,Omar,Murphy,1954-08-19,F,4375,OH,,2024-11-27,,TPA
MBR300068,GRP1005,Omar,Roe,1952-08-03,U,3920,NY,mbr300068@example.com,2024-06-16,,TPA
